implementacion,archivo,servicios,lineas,repeticion,tiempo_segundos
C,compose_001_servicios.yml,1,14,1,0.008555
C,compose_001_servicios.yml,1,14,2,0.009579
C,compose_001_servicios.yml,1,14,3,0.008844
C,compose_001_servicios.yml,1,14,4,0.008604
C,compose_001_servicios.yml,1,14,5,0.009029
C,compose_001_servicios.yml,1,14,6,0.008674
C,compose_001_servicios.yml,1,14,7,0.009079
Rust,compose_001_servicios.yml,1,14,1,0.010166
Rust,compose_001_servicios.yml,1,14,2,0.011305
Rust,compose_001_servicios.yml,1,14,3,0.009981
Rust,compose_001_servicios.yml,1,14,4,0.009837
Rust,compose_001_servicios.yml,1,14,5,0.010264
Rust,compose_001_servicios.yml,1,14,6,0.011036
Rust,compose_001_servicios.yml,1,14,7,0.010441
Python,compose_001_servicios.yml,1,14,1,0.065754
Python,compose_001_servicios.yml,1,14,2,0.055434
Python,compose_001_servicios.yml,1,14,3,0.044187
Python,compose_001_servicios.yml,1,14,4,0.047540
Python,compose_001_servicios.yml,1,14,5,0.047858
Python,compose_001_servicios.yml,1,14,6,0.044766
Python,compose_001_servicios.yml,1,14,7,0.052546
C,compose_002_servicios.yml,2,19,1,0.013833
C,compose_002_servicios.yml,2,19,2,0.012641
C,compose_002_servicios.yml,2,19,3,0.011155
C,compose_002_servicios.yml,2,19,4,0.013074
C,compose_002_servicios.yml,2,19,5,0.011078
C,compose_002_servicios.yml,2,19,6,0.011073
C,compose_002_servicios.yml,2,19,7,0.013538
Rust,compose_002_servicios.yml,2,19,1,0.012904
Rust,compose_002_servicios.yml,2,19,2,0.011687
Rust,compose_002_servicios.yml,2,19,3,0.011856
Rust,compose_002_servicios.yml,2,19,4,0.012668
Rust,compose_002_servicios.yml,2,19,5,0.009248
Rust,compose_002_servicios.yml,2,19,6,0.009620
Rust,compose_002_servicios.yml,2,19,7,0.010816
Python,compose_002_servicios.yml,2,19,1,0.062863
Python,compose_002_servicios.yml,2,19,2,0.072435
Python,compose_002_servicios.yml,2,19,3,0.066692
Python,compose_002_servicios.yml,2,19,4,0.070359
Python,compose_002_servicios.yml,2,19,5,0.060993
Python,compose_002_servicios.yml,2,19,6,0.048314
Python,compose_002_servicios.yml,2,19,7,0.051576
C,compose_003_servicios.yml,3,25,1,0.010725
C,compose_003_servicios.yml,3,25,2,0.010171
C,compose_003_servicios.yml,3,25,3,0.009612
C,compose_003_servicios.yml,3,25,4,0.009098
C,compose_003_servicios.yml,3,25,5,0.009670
C,compose_003_servicios.yml,3,25,6,0.008939
C,compose_003_servicios.yml,3,25,7,0.008827
Rust,compose_003_servicios.yml,3,25,1,0.009179
Rust,compose_003_servicios.yml,3,25,2,0.009545
Rust,compose_003_servicios.yml,3,25,3,0.008536
Rust,compose_003_servicios.yml,3,25,4,0.008775
Rust,compose_003_servicios.yml,3,25,5,0.008590
Rust,compose_003_servicios.yml,3,25,6,0.009190
Rust,compose_003_servicios.yml,3,25,7,0.009101
Python,compose_003_servicios.yml,3,25,1,0.050823
Python,compose_003_servicios.yml,3,25,2,0.052647
Python,compose_003_servicios.yml,3,25,3,0.053405
Python,compose_003_servicios.yml,3,25,4,0.044353
Python,compose_003_servicios.yml,3,25,5,0.049420
Python,compose_003_servicios.yml,3,25,6,0.047731
Python,compose_003_servicios.yml,3,25,7,0.050385
C,compose_005_servicios.yml,5,35,1,0.009341
C,compose_005_servicios.yml,5,35,2,0.010042
C,compose_005_servicios.yml,5,35,3,0.008792
C,compose_005_servicios.yml,5,35,4,0.010281
C,compose_005_servicios.yml,5,35,5,0.010708
C,compose_005_servicios.yml,5,35,6,0.009686
C,compose_005_servicios.yml,5,35,7,0.010466
Rust,compose_005_servicios.yml,5,35,1,0.010254
Rust,compose_005_servicios.yml,5,35,2,0.010508
Rust,compose_005_servicios.yml,5,35,3,0.010314
Rust,compose_005_servicios.yml,5,35,4,0.010344
Rust,compose_005_servicios.yml,5,35,5,0.011072
Rust,compose_005_servicios.yml,5,35,6,0.010044
Rust,compose_005_servicios.yml,5,35,7,0.010484
Python,compose_005_servicios.yml,5,35,1,0.049789
Python,compose_005_servicios.yml,5,35,2,0.050105
Python,compose_005_servicios.yml,5,35,3,0.050784
Python,compose_005_servicios.yml,5,35,4,0.048437
Python,compose_005_servicios.yml,5,35,5,0.046832
Python,compose_005_servicios.yml,5,35,6,0.046732
Python,compose_005_servicios.yml,5,35,7,0.051713
C,compose_008_servicios.yml,8,57,1,0.009178
C,compose_008_servicios.yml,8,57,2,0.009830
C,compose_008_servicios.yml,8,57,3,0.009880
C,compose_008_servicios.yml,8,57,4,0.008662
C,compose_008_servicios.yml,8,57,5,0.009591
C,compose_008_servicios.yml,8,57,6,0.009121
C,compose_008_servicios.yml,8,57,7,0.009548
Rust,compose_008_servicios.yml,8,57,1,0.011533
Rust,compose_008_servicios.yml,8,57,2,0.011547
Rust,compose_008_servicios.yml,8,57,3,0.011845
Rust,compose_008_servicios.yml,8,57,4,0.009466
Rust,compose_008_servicios.yml,8,57,5,0.009916
Rust,compose_008_servicios.yml,8,57,6,0.010487
Rust,compose_008_servicios.yml,8,57,7,0.010570
Python,compose_008_servicios.yml,8,57,1,0.045546
Python,compose_008_servicios.yml,8,57,2,0.043589
Python,compose_008_servicios.yml,8,57,3,0.045816
Python,compose_008_servicios.yml,8,57,4,0.045989
Python,compose_008_servicios.yml,8,57,5,0.047664
Python,compose_008_servicios.yml,8,57,6,0.048163
Python,compose_008_servicios.yml,8,57,7,0.043685
C,compose_012_servicios.yml,12,79,1,0.009530
C,compose_012_servicios.yml,12,79,2,0.009309
C,compose_012_servicios.yml,12,79,3,0.010375
C,compose_012_servicios.yml,12,79,4,0.010298
C,compose_012_servicios.yml,12,79,5,0.009117
C,compose_012_servicios.yml,12,79,6,0.010009
C,compose_012_servicios.yml,12,79,7,0.009710
Rust,compose_012_servicios.yml,12,79,1,0.010418
Rust,compose_012_servicios.yml,12,79,2,0.009998
Rust,compose_012_servicios.yml,12,79,3,0.009952
Rust,compose_012_servicios.yml,12,79,4,0.010943
Rust,compose_012_servicios.yml,12,79,5,0.010249
Rust,compose_012_servicios.yml,12,79,6,0.009951
Rust,compose_012_servicios.yml,12,79,7,0.009641
Python,compose_012_servicios.yml,12,79,1,0.047558
Python,compose_012_servicios.yml,12,79,2,0.049150
Python,compose_012_servicios.yml,12,79,3,0.047994
Python,compose_012_servicios.yml,12,79,4,0.049261
Python,compose_012_servicios.yml,12,79,5,0.048333
Python,compose_012_servicios.yml,12,79,6,0.048185
Python,compose_012_servicios.yml,12,79,7,0.051219
C,compose_016_servicios.yml,16,105,1,0.009167
C,compose_016_servicios.yml,16,105,2,0.008861
C,compose_016_servicios.yml,16,105,3,0.008803
C,compose_016_servicios.yml,16,105,4,0.008788
C,compose_016_servicios.yml,16,105,5,0.008569
C,compose_016_servicios.yml,16,105,6,0.009082
C,compose_016_servicios.yml,16,105,7,0.008542
Rust,compose_016_servicios.yml,16,105,1,0.010473
Rust,compose_016_servicios.yml,16,105,2,0.009273
Rust,compose_016_servicios.yml,16,105,3,0.010470
Rust,compose_016_servicios.yml,16,105,4,0.010785
Rust,compose_016_servicios.yml,16,105,5,0.010324
Rust,compose_016_servicios.yml,16,105,6,0.010931
Rust,compose_016_servicios.yml,16,105,7,0.010045
Python,compose_016_servicios.yml,16,105,1,0.047854
Python,compose_016_servicios.yml,16,105,2,0.048111
Python,compose_016_servicios.yml,16,105,3,0.046298
Python,compose_016_servicios.yml,16,105,4,0.046653
Python,compose_016_servicios.yml,16,105,5,0.046157
Python,compose_016_servicios.yml,16,105,6,0.044361
Python,compose_016_servicios.yml,16,105,7,0.045935
C,compose_020_servicios.yml,20,132,1,0.009230
C,compose_020_servicios.yml,20,132,2,0.009766
C,compose_020_servicios.yml,20,132,3,0.008808
